data_size,num_blocks,block_size,gpu_add,gpu_sub,gpu_mul,gpu_mod,cpu_add,cpu_sub,cpu_mul,cpu_mod
2048,8,256,2772,5678,7540,9312,5747,5980,5601,12294
2048,8,256,2959,5911,7596,9210,5767,5824,5589,12743
2048,8,256,3020,6047,7743,9396,5879,5911,5667,12560
2048,8,256,2704,5442,7062,8598,4892,4869,4746,11536
2048,8,256,2956,6587,8360,10050,6029,5830,5566,12444
2048,8,256,2973,5869,7579,9210,5783,5904,5737,12330
2048,8,256,3003,5862,7529,9437,5731,5726,5808,12410
2048,8,256,2838,5655,7369,9032,6451,8260,5577,12347
2048,8,256,2874,5532,7138,8702,6268,5860,5813,12260
2048,8,256,2966,6099,7930,9778,7286,6554,6458,25419
